Chicken NCBI gene ID	Chicken gene name	GEISHA ID	Ensembl ID	GO ids	stages	locations
373885	FZD10	Frizzled10.Chapman.2004		GO:0060070,GO:0016021,GO:0007420,GO:0017147,GO:0042995,GO:0042813,GO:0009790,GO:0030165,GO:0008406,GO:0005886,GO:0004930,GO:0005737,GO:0001944	4,5	"Primitive Streak"
373885	FZD10	Fz10.Chapman.2008		GO:0060070,GO:0016021,GO:0007420,GO:0017147,GO:0042995,GO:0042813,GO:0009790,GO:0030165,GO:0008406,GO:0005886,GO:0004930,GO:0005737,GO:0001944	3,4,5,10	"Area Pellucida","Primitive Streak","Neural Plate/Tube","Unlabeled","Extraembryonic","Germinal Crescent"
373885	FZD10	Fz10.Chesnutt.2004		GO:0060070,GO:0016021,GO:0007420,GO:0017147,GO:0042995,GO:0042813,GO:0009790,GO:0030165,GO:0008406,GO:0005886,GO:0004930,GO:0005737,GO:0001944	18	"Spinal Cord"
373885	FZD10	FZ10.Quinlan.2009		GO:0060070,GO:0016021,GO:0007420,GO:0017147,GO:0042995,GO:0042813,GO:0009790,GO:0030165,GO:0008406,GO:0005886,GO:0004930,GO:0005737,GO:0001944	1,14,19	"Pituitary (Rudiment)","Midbrain","Hindbrain","Diencephalon"
373885	FZD10	FZD10.Geetha-Loganathan.2009		GO:0060070,GO:0016021,GO:0007420,GO:0017147,GO:0042995,GO:0042813,GO:0009790,GO:0030165,GO:0008406,GO:0005886,GO:0004930,GO:0005737,GO:0001944	24	"Pharyngeal Arches and Clefts","Head Mesenchyme"
373885	FZD10	FZD10.McCabe.2007		GO:0060070,GO:0016021,GO:0007420,GO:0017147,GO:0042995,GO:0042813,GO:0009790,GO:0030165,GO:0008406,GO:0005886,GO:0004930,GO:0005737,GO:0001944	8,10	"Neural Plate/Tube"
373885	FZD10	FZD10.Paxton.2010		GO:0060070,GO:0016021,GO:0007420,GO:0017147,GO:0042995,GO:0042813,GO:0009790,GO:0030165,GO:0008406,GO:0005886,GO:0004930,GO:0005737,GO:0001944	4,6,8,9,14,19	"Ear/Otic Placode","Ectoderm","Spinal Cord","Tail","Midbrain","Hindbrain","Primitive Streak","Neural Plate/Tube"
373885	FZD10	FZD10.Sienknecht.2009		GO:0060070,GO:0016021,GO:0007420,GO:0017147,GO:0042995,GO:0042813,GO:0009790,GO:0030165,GO:0008406,GO:0005886,GO:0004930,GO:0005737,GO:0001944	23	"Ear/Otic Placode"
373886	FZD9	Frizzled9.Chapman.2004		GO:0007275,GO:0016055,GO:0016021,GO:0042813,GO:0005886,GO:0004930	4,5	"Hensen's Node","Endoderm, early","Primitive Streak"
373886	FZD9	Frz-9.Fuhrmann.2003		GO:0007275,GO:0016055,GO:0016021,GO:0042813,GO:0005886,GO:0004930	29,42	"Retina"
373886	FZD9	Fz9.Chapman.2008		GO:0007275,GO:0016055,GO:0016021,GO:0042813,GO:0005886,GO:0004930	5,8,10,11	"Neural Plate/Tube","Paraxial Mesoderm"
373886	FZD9	FZ9.Quinlan.2009		GO:0007275,GO:0016055,GO:0016021,GO:0042813,GO:0005886,GO:0004930	14,19	"Ubiquitous","Midbrain","Diencephalon"
373886	FZD9	Fz9.Theodosiou.2003		GO:0007275,GO:0016055,GO:0016021,GO:0042813,GO:0005886,GO:0004930	22,24,32	"Stomach","Duodenum","Midgut","Hindgut","Gizzard"
373886	FZD9	FZD9.Sienknecht.2009		GO:0007275,GO:0016055,GO:0016021,GO:0042813,GO:0005886,GO:0004930	16,25	"Ear/Otic Placode","Rhombomeres"
373887	FZD4	cFz-4.Stark.2000	ENSGALG00000017242	GO:0060070,GO:0007420,GO:0017147,GO:0009986,GO:0045893,GO:0007223,GO:0046982,GO:0042803,GO:0061301,GO:0061304,GO:0042701,GO:0034446,GO:0010812,GO:0030165,GO:0030947,GO:0005911,GO:0005737,GO:0016021,GO:0042995,GO:0042813,GO:0043507,GO:0001570,GO:0051091,GO:0009790,GO:0035426,GO:0005886,GO:0004930,GO:0019955,GO:0007605,GO:0031625,GO:0031987	10,15,17,18,24,30,36,40,44	"Limb Buds","Midbrain","Somites","Neural Plate/Tube","Pronephros","Glomeruli","Eye","Ear/Otic Placode","Veins","Mesonephros","Hindbrain","Nephric Tubules","Nephric Ducts","Metanephros","Notochord","Foregut"
373887	FZD4	Frizzled4.Chapman.2004	ENSGALG00000017242	GO:0060070,GO:0007420,GO:0017147,GO:0009986,GO:0045893,GO:0007223,GO:0046982,GO:0042803,GO:0061301,GO:0061304,GO:0042701,GO:0034446,GO:0010812,GO:0030165,GO:0030947,GO:0005911,GO:0005737,GO:0016021,GO:0042995,GO:0042813,GO:0043507,GO:0001570,GO:0051091,GO:0009790,GO:0035426,GO:0005886,GO:0004930,GO:0019955,GO:0007605,GO:0031625,GO:0031987	4,5	"Hensen's Node","Mesoderm, early","Primitive Streak"
